user_id,first_name,last_name,phone,city_id,email
1,Melinda,Prayoga,+62 (0316) 183-2930,3578,melindaprayoga@gmail.com
2,Harsaya,Wastuti,+62 (095) 463 0840,3171,harsayawastuti@gmail.com
3,Syahrini,Nainggolan,(088) 498-7973,3471,syahrininainggolan@gmail.com
4,Timbul,Agustina,+62 (97) 927-9139,1371,timbulagustina@yahoo.com
5,Ani,Kusmawati,+62-0119-696-3640,6471,anikusmawati@yahoo.com
6,Kacung,Wibowo,+62 (73) 140-3556,6471,kacungwibowo@gmail.com
7,Syahrini,Yuliarti,+62-0387-806-5032,3573,syahriniyuliarti@hotmail.com
8,Cahyo,Widiastuti,+62-0902-045-5439,3172,cahyowidiastuti@gmail.com
9,Febi,Saragih,+62 (031) 906 7553,3171,febisaragih@gmail.com
10,Emil,Samosir,+62 (016) 576-0522,3172,emilsamosir@gmail.com
11,Nalar,Prakasa,+62 (0732) 130-0246,3273,nalarprakasa@gmail.com
12,Mumpuni,Rajata,(099) 986 7264,3471,mumpunirajata@yahoo.com
13,Prabu,Saptono,+62 (0613) 437-2702,6472,prabusaptono@hotmail.com
14,Capa,Tampubolon,(0725) 725 6904,3172,capatampubolon@hotmail.com
15,Timbul,Salahudin,086 005 0017,5171,timbulsalahudin@yahoo.com
16,Danuja,Wulandari,+62 (0557) 460-3794,3273,danujawulandari@yahoo.com
17,Panca,Santoso,(017) 255-1662,3175,pancasantoso@gmail.com
18,Adika,Kusumo,+62-77-380-1335,3173,adikakusumo@hotmail.com
19,Keisha,Pertiwi,(075) 587 6768,6472,keishapertiwi@gmail.com
20,Gatra,Usamah,(032) 319-1372,1371,gatrausamah@hotmail.com
21,Lulut,Simbolon,082 644 1330,5171,lulutsimbolon@yahoo.com
22,Dimas,Natsir,+62-874-089-3911,3175,dimasnatsir@gmail.com
23,Yani,Gunawan,(0534) 607-7741,3578,yanigunawan@gmail.com
24,Gangsa,Permadi,+62 (480) 367 7952,3173,gangsapermadi@yahoo.com
